State,value
Long Island City - Astoria,11.02
Long Island City - Astoria,9.84
Long Island City - Astoria,9.6
Long Island City - Astoria,9.98
Long Island City - Astoria,9.78
Long Island City - Astoria,8.65
Long Island City - Astoria,8.42
Long Island City - Astoria,8.16
Chelsea-Village,12.85
Chelsea-Village,11.94
Chelsea-Village,11.87
Chelsea-Village,12.08
Chelsea-Village,11.13
Chelsea-Village,10.05
Chelsea-Village,9.61
Chelsea-Village,9.58
Union Square-Lower Manhattan,11.71
Union Square-Lower Manhattan,10.66
Union Square-Lower Manhattan,10.44
Union Square-Lower Manhattan,10.79
Union Square-Lower Manhattan,10.21
Union Square-Lower Manhattan,9.18
Union Square-Lower Manhattan,8.68
Union Square-Lower Manhattan,8.39
Jamaica,9.57
Jamaica,8.48
Jamaica,8.27
Jamaica,8.46
Jamaica,8.2
Jamaica,6.99
Jamaica,7.08
Jamaica,6.69
Flushing and Whitestone (CD7),10.09
Flushing and Whitestone (CD7),8.93
Flushing and Whitestone (CD7),8.43
Flushing and Whitestone (CD7),8.69
Flushing and Whitestone (CD7),8.48
Flushing and Whitestone (CD7),7.26
Flushing and Whitestone (CD7),7.3
Flushing and Whitestone (CD7),6.93
